starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 20:52:34 2022	1664797954	0	1077	1077	1077
Mon Oct 03 20:52:27 2022	1664797947	0	1077	1077	1077
Mon Oct 03 20:52:41 2022	1664797961	0	1078	1078	1078
Mon Oct 03 20:52:25 2022	1664797945	0	1078	1078	1077
Mon Oct 03 20:52:37 2022	1664797957	0	1078	1078	1078
Mon Oct 03 20:52:37 2022	1664797957	0	1078	1078	1078
Mon Oct 03 20:52:34 2022	1664797954	0	1078	1078	1078
Mon Oct 03 20:52:30 2022	1664797950	0	1078	1079	1078
Mon Oct 03 20:52:42 2022	1664797962	0	1079	1079	1078
Mon Oct 03 20:52:29 2022	1664797949	0	1079	1079	1079
Mon Oct 03 20:52:40 2022	1664797960	0	1079	1079	1079
Mon Oct 03 20:52:34 2022	1664797954	0	1079	1079	1078
Mon Oct 03 20:52:33 2022	1664797953	0	1079	1079	1079
Mon Oct 03 20:52:27 2022	1664797947	0	1079	1079	1079
Mon Oct 03 20:52:43 2022	1664797963	0	1079	1079	1079
Mon Oct 03 20:52:37 2022	1664797957	0	1079	1080	1079
Mon Oct 03 20:52:36 2022	1664797956	0	1079	1080	1079
Mon Oct 03 20:52:40 2022	1664797960	0	1080	1080	1079
Mon Oct 03 20:52:33 2022	1664797953	0	1080	1080	1080
Mon Oct 03 20:52:33 2022	1664797953	0	1080	1080	1080
Mon Oct 03 20:52:34 2022	1664797954	0	1081	1081	1080
Mon Oct 03 20:52:39 2022	1664797959	0	1081	1081	1080
Mon Oct 03 20:52:30 2022	1664797950	0	1081	1081	1080
Mon Oct 03 20:52:37 2022	1664797957	0	1081	1081	1081
Mon Oct 03 20:52:39 2022	1664797959	0	1081	1081	1081
Mon Oct 03 20:52:27 2022	1664797947	0	1081	1081	1080
Mon Oct 03 20:52:31 2022	1664797951	0	1081	1081	1081
Mon Oct 03 20:52:26 2022	1664797946	0	1081	1081	1081
Mon Oct 03 20:52:35 2022	1664797955	0	1081	1081	1081
Mon Oct 03 20:52:35 2022	1664797955	0	1081	1081	1081
Mon Oct 03 20:52:31 2022	1664797951	0	1082	1082	1081
Mon Oct 03 20:52:36 2022	1664797956	0	1082	1082	1081
Mon Oct 03 20:52:30 2022	1664797950	0	1082	1082	1082
Mon Oct 03 20:52:24 2022	1664797944	0	1082	1082	1082
Mon Oct 03 20:52:31 2022	1664797951	0	1082	1082	1082
Mon Oct 03 20:52:27 2022	1664797947	0	1082	1083	1082
Mon Oct 03 20:52:27 2022	1664797947	0	1083	1083	1083
Mon Oct 03 20:52:37 2022	1664797957	0	1083	1083	1083
Mon Oct 03 20:52:32 2022	1664797952	0	1083	1083	1083
Mon Oct 03 20:52:40 2022	1664797960	0	1084	1084	1083
Mon Oct 03 20:52:28 2022	1664797948	0	1084	1084	1084
Mon Oct 03 20:52:40 2022	1664797960	0	1084	1084	1084
Mon Oct 03 20:52:37 2022	1664797957	0	1084	1085	1084
Mon Oct 03 20:52:28 2022	1664797948	0	1085	1085	1084
Mon Oct 03 20:52:25 2022	1664797945	0	1085	1085	1085
Mon Oct 03 20:52:35 2022	1664797955	0	1085	1085	1084
Mon Oct 03 20:52:35 2022	1664797955	0	1085	1085	1085
Mon Oct 03 20:52:40 2022	1664797960	0	1085	1085	1085
Mon Oct 03 20:52:40 2022	1664797960	0	1085	1086	1085
Mon Oct 03 20:52:27 2022	1664797947	0	1086	1086	1086
Mon Oct 03 20:52:43 2022	1664797963	0	1086	1086	1086
Mon Oct 03 20:52:41 2022	1664797961	0	1086	1086	1086
Mon Oct 03 20:52:37 2022	1664797957	0	1087	1087	1086
Mon Oct 03 20:52:32 2022	1664797952	0	1087	1087	1086
Mon Oct 03 20:52:31 2022	1664797951	0	1087	1087	1087
Mon Oct 03 20:52:33 2022	1664797953	0	1087	1087	1087
Mon Oct 03 20:52:33 2022	1664797953	0	1087	1087	1087
Mon Oct 03 20:52:24 2022	1664797944	0	1087	1087	1087
Mon Oct 03 20:52:31 2022	1664797951	0	1088	1088	1087
Mon Oct 03 20:52:34 2022	1664797954	0	1088	1088	1088
Mon Oct 03 20:52:42 2022	1664797962	0	1088	1088	1088
Mon Oct 03 20:52:37 2022	1664797957	0	1088	1089	1088
Mon Oct 03 20:52:27 2022	1664797947	0	1088	1089	1088
Mon Oct 03 20:52:26 2022	1664797946	0	1089	1089	1089
Mon Oct 03 20:52:39 2022	1664797959	0	1089	1089	1088
Mon Oct 03 20:52:34 2022	1664797954	0	1089	1089	1089
Mon Oct 03 20:52:37 2022	1664797957	0	1089	1089	1089
Mon Oct 03 20:52:26 2022	1664797946	0	1089	1089	1089
Mon Oct 03 20:52:25 2022	1664797945	0	1089	1089	1089
Mon Oct 03 20:52:42 2022	1664797962	0	1090	1090	1090
Mon Oct 03 20:52:28 2022	1664797948	0	1090	1090	1090
Mon Oct 03 20:52:29 2022	1664797949	0	1090	1090	1090
Mon Oct 03 20:52:37 2022	1664797957	0	1090	1090	1090
Mon Oct 03 20:52:29 2022	1664797949	0	1090	1090	1090
Mon Oct 03 20:52:38 2022	1664797958	0	1090	1091	1090
Mon Oct 03 20:52:34 2022	1664797954	0	1091	1091	1091
Mon Oct 03 20:52:37 2022	1664797957	0	1091	1091	1090
Mon Oct 03 20:52:32 2022	1664797952	0	1091	1091	1090
Mon Oct 03 20:52:40 2022	1664797960	0	1091	1091	1091
Mon Oct 03 20:52:33 2022	1664797953	0	1092	1092	1092
Mon Oct 03 20:52:29 2022	1664797949	0	1092	1092	1091
Mon Oct 03 20:52:35 2022	1664797955	0	1092	1092	1092
Mon Oct 03 20:52:27 2022	1664797947	0	1092	1092	1092
Mon Oct 03 20:52:39 2022	1664797959	0	1092	1092	1092
Mon Oct 03 20:52:40 2022	1664797960	0	1092	1092	1092
Mon Oct 03 20:52:27 2022	1664797947	0	1093	1093	1092
Mon Oct 03 20:52:42 2022	1664797962	0	1093	1093	1093
Mon Oct 03 20:52:29 2022	1664797949	0	1093	1093	1093
Mon Oct 03 20:52:27 2022	1664797947	0	1093	1093	1093
Mon Oct 03 20:52:43 2022	1664797963	0	1094	1094	1093
Mon Oct 03 20:52:42 2022	1664797962	0	1094	1094	1093
Mon Oct 03 20:52:36 2022	1664797956	0	1094	1094	1094
Mon Oct 03 20:52:36 2022	1664797956	0	1094	1094	1094
Mon Oct 03 20:52:42 2022	1664797962	0	1094	1095	1094
Mon Oct 03 20:52:31 2022	1664797951	0	1094	1095	1094
Mon Oct 03 20:52:36 2022	1664797956	0	1094	1095	1094
Mon Oct 03 20:52:39 2022	1664797959	0	1095	1095	1095
Mon Oct 03 20:52:32 2022	1664797952	0	1095	1095	1095
Mon Oct 03 20:52:35 2022	1664797955	0	1095	1095	1095
Mon Oct 03 20:52:37 2022	1664797957	0	1096	1096	1095
Mon Oct 03 20:52:39 2022	1664797959	0	1096	1096	1096
Mon Oct 03 20:52:37 2022	1664797957	0	1096	1096	1096
Mon Oct 03 20:52:31 2022	1664797951	0	1096	1096	1096
Mon Oct 03 20:52:37 2022	1664797957	0	1096	1096	1096
Mon Oct 03 20:52:38 2022	1664797958	0	1096	1096	1096
Mon Oct 03 20:52:43 2022	1664797963	0	1096	1096	1096
Mon Oct 03 20:52:31 2022	1664797951	0	1097	1097	1096
Mon Oct 03 20:52:35 2022	1664797955	0	1097	1097	1097
Mon Oct 03 20:52:25 2022	1664797945	0	1097	1097	1097
Mon Oct 03 20:52:27 2022	1664797947	0	1098	1098	1097
Mon Oct 03 20:52:33 2022	1664797953	0	1098	1098	1098
Mon Oct 03 20:52:37 2022	1664797957	0	1098	1098	1097
Mon Oct 03 20:52:35 2022	1664797955	0	1098	1098	1098
Mon Oct 03 20:52:29 2022	1664797949	0	1098	1098	1098
Mon Oct 03 20:52:25 2022	1664797945	0	1098	1098	1098
Mon Oct 03 20:52:37 2022	1664797957	0	1098	1098	1098
Mon Oct 03 20:52:42 2022	1664797962	0	1099	1099	1098
Mon Oct 03 20:52:34 2022	1664797954	0	1099	1099	1099
Mon Oct 03 20:52:32 2022	1664797952	0	1099	1099	1099
Mon Oct 03 20:52:29 2022	1664797949	0	1099	1100	1099
Mon Oct 03 20:52:42 2022	1664797962	0	1100	1100	1100
Mon Oct 03 20:52:38 2022	1664797958	0	1100	1100	1100
Mon Oct 03 20:52:42 2022	1664797962	0	1100	1100	1100
Mon Oct 03 20:52:41 2022	1664797961	0	1100	1100	1100
Mon Oct 03 20:52:39 2022	1664797959	0	1100	1100	1100
Mon Oct 03 20:52:43 2022	1664797963	0	1100	1100	1100
Mon Oct 03 20:52:31 2022	1664797951	0	1101	1101	1100
Mon Oct 03 20:52:43 2022	1664797963	0	1101	1101	1100
Mon Oct 03 20:52:40 2022	1664797960	0	1101	1101	1101
Mon Oct 03 20:52:39 2022	1664797959	0	1101	1101	1101
Mon Oct 03 20:52:34 2022	1664797954	0	1101	1101	1101
Mon Oct 03 20:52:40 2022	1664797960	0	1101	1101	1101
Mon Oct 03 20:52:37 2022	1664797957	0	1102	1102	1101
Mon Oct 03 20:52:38 2022	1664797958	0	1102	1102	1102
Mon Oct 03 20:52:42 2022	1664797962	0	1102	1102	1102
Mon Oct 03 20:52:29 2022	1664797949	0	1102	1103	1102
Mon Oct 03 20:52:30 2022	1664797950	0	1103	1103	1103
Mon Oct 03 20:52:30 2022	1664797950	0	1103	1103	1102
Mon Oct 03 20:52:40 2022	1664797960	0	1103	1103	1103
Mon Oct 03 20:52:39 2022	1664797959	0	1103	1103	1103
Mon Oct 03 20:52:37 2022	1664797957	0	1103	1103	1103
Mon Oct 03 20:52:29 2022	1664797949	0	1104	1104	1104
Mon Oct 03 20:52:34 2022	1664797954	0	1104	1104	1104
Mon Oct 03 20:52:31 2022	1664797951	0	1104	1104	1104
Mon Oct 03 20:52:43 2022	1664797963	0	1104	1104	1104
Mon Oct 03 20:52:32 2022	1664797952	0	1104	1105	1104
Mon Oct 03 20:52:39 2022	1664797959	0	1105	1105	1105
Mon Oct 03 20:52:42 2022	1664797962	0	1105	1105	1104
Mon Oct 03 20:52:32 2022	1664797952	0	1105	1105	1105
Mon Oct 03 20:52:39 2022	1664797959	0	1105	1105	1105
Mon Oct 03 20:52:26 2022	1664797946	0	1105	1105	1105
Mon Oct 03 20:52:35 2022	1664797955	0	1106	1106	1105
Mon Oct 03 20:52:36 2022	1664797956	0	1105	1106	1105
Mon Oct 03 20:52:39 2022	1664797959	0	1106	1106	1106
Mon Oct 03 20:52:31 2022	1664797951	0	1106	1107	1106
Mon Oct 03 20:52:41 2022	1664797961	0	1107	1107	1107
Mon Oct 03 20:52:35 2022	1664797955	0	1107	1107	1107
Mon Oct 03 20:52:43 2022	1664797963	0	1107	1107	1107
Mon Oct 03 20:52:24 2022	1664797944	0	1107	1107	1107
Mon Oct 03 20:52:39 2022	1664797959	0	1107	1107	1107
Mon Oct 03 20:52:30 2022	1664797950	0	1108	1108	1107
Mon Oct 03 20:52:26 2022	1664797946	0	1108	1108	1107
Mon Oct 03 20:52:25 2022	1664797945	0	1108	1108	1108
Mon Oct 03 20:52:32 2022	1664797952	0	1108	1108	1107
Mon Oct 03 20:52:38 2022	1664797958	0	1108	1108	1108
Mon Oct 03 20:52:41 2022	1664797961	0	1109	1109	1109
Mon Oct 03 20:52:28 2022	1664797948	0	1109	1109	1109
Mon Oct 03 20:52:38 2022	1664797958	0	1109	1109	1109
Mon Oct 03 20:52:42 2022	1664797962	0	1109	1109	1109
Mon Oct 03 20:52:30 2022	1664797950	0	1109	1109	1109
Mon Oct 03 20:52:39 2022	1664797959	0	1110	1110	1109
Mon Oct 03 20:52:28 2022	1664797948	0	1110	1110	1110
Mon Oct 03 20:52:42 2022	1664797962	0	1111	1111	1111
Mon Oct 03 20:52:25 2022	1664797945	0	1112	1112	1111
Mon Oct 03 20:52:36 2022	1664797956	0	1112	1112	1112
Mon Oct 03 20:52:42 2022	1664797962	0	1113	1113	1113
Mon Oct 03 20:52:29 2022	1664797949	0	1113	1113	1113
Mon Oct 03 20:52:25 2022	1664797945	0	1114	1114	1114
Mon Oct 03 20:52:37 2022	1664797957	0	1114	1114	1113
Mon Oct 03 20:52:25 2022	1664797945	0	1114	1114	1114
Mon Oct 03 20:52:40 2022	1664797960	0	1114	1114	1114
Mon Oct 03 20:52:39 2022	1664797959	0	1114	1115	1114
Mon Oct 03 20:52:39 2022	1664797959	0	1115	1115	1115
Mon Oct 03 20:52:39 2022	1664797959	0	1115	1115	1115
Mon Oct 03 20:52:38 2022	1664797958	0	1115	1115	1115
Mon Oct 03 20:52:25 2022	1664797945	0	1115	1115	1115
Mon Oct 03 20:52:31 2022	1664797951	0	1115	1115	1115
Mon Oct 03 20:52:38 2022	1664797958	0	1116	1116	1115
Mon Oct 03 20:52:30 2022	1664797950	0	1116	1116	1115
Mon Oct 03 20:52:25 2022	1664797945	0	1116	1116	1115
Mon Oct 03 20:52:29 2022	1664797949	0	1116	1116	1115
Mon Oct 03 20:52:30 2022	1664797950	0	1116	1116	1116
Mon Oct 03 20:52:30 2022	1664797950	0	1116	1117	1116
Mon Oct 03 20:52:38 2022	1664797958	0	1117	1117	1116
Mon Oct 03 20:52:26 2022	1664797946	0	1117	1117	1116
Mon Oct 03 20:52:35 2022	1664797955	0	1117	1117	1116
Mon Oct 03 20:52:31 2022	1664797951	0	1117	1117	1117
Mon Oct 03 20:52:25 2022	1664797945	0	1118	1118	1117
Mon Oct 03 20:52:39 2022	1664797959	1	1117	1118	1117
Mon Oct 03 20:52:34 2022	1664797954	0	1118	1118	1118
Mon Oct 03 20:52:24 2022	1664797944	0	1118	1118	1118
Mon Oct 03 20:52:25 2022	1664797945	0	1118	1119	1118
Mon Oct 03 20:52:34 2022	1664797954	0	1118	1119	1118
Mon Oct 03 20:52:30 2022	1664797950	0	1119	1119	1118
Mon Oct 03 20:52:37 2022	1664797957	0	1119	1119	1118
Mon Oct 03 20:52:25 2022	1664797945	0	1119	1119	1118
Mon Oct 03 20:52:40 2022	1664797960	0	1119	1119	1119
Mon Oct 03 20:52:25 2022	1664797945	0	1119	1119	1119
Mon Oct 03 20:52:27 2022	1664797947	0	1120	1120	1119
Mon Oct 03 20:52:35 2022	1664797955	0	1120	1120	1120
Mon Oct 03 20:52:40 2022	1664797960	0	1120	1120	1120
Mon Oct 03 20:52:33 2022	1664797953	0	1120	1120	1120
Mon Oct 03 20:52:39 2022	1664797959	0	1120	1120	1120
Mon Oct 03 20:52:25 2022	1664797945	0	1120	1120	1120
Mon Oct 03 20:52:34 2022	1664797954	0	1121	1121	1120
Mon Oct 03 20:52:37 2022	1664797957	0	1121	1121	1120
Mon Oct 03 20:52:37 2022	1664797957	0	1121	1121	1121
Mon Oct 03 20:52:37 2022	1664797957	0	1121	1121	1121
Mon Oct 03 20:52:24 2022	1664797944	0	1121	1121	1121
Mon Oct 03 20:52:25 2022	1664797945	0	1122	1122	1122
Mon Oct 03 20:52:38 2022	1664797958	0	1122	1122	1122
Mon Oct 03 20:52:37 2022	1664797957	0	1122	1122	1122
Mon Oct 03 20:52:40 2022	1664797960	0	1122	1123	1122
Mon Oct 03 20:52:37 2022	1664797957	0	1123	1123	1123
Mon Oct 03 20:52:27 2022	1664797947	0	1123	1123	1123
Mon Oct 03 20:52:33 2022	1664797953	0	1123	1123	1123
Mon Oct 03 20:52:25 2022	1664797945	0	1123	1123	1123
Mon Oct 03 20:52:42 2022	1664797962	0	1124	1124	1123
Mon Oct 03 20:52:30 2022	1664797950	0	1124	1124	1123
Mon Oct 03 20:52:31 2022	1664797951	0	1124	1124	1124
Mon Oct 03 20:52:42 2022	1664797962	0	1124	1124	1124
Mon Oct 03 20:52:31 2022	1664797951	0	1124	1124	1124
Mon Oct 03 20:52:26 2022	1664797946	0	1124	1124	1124
Mon Oct 03 20:52:39 2022	1664797959	0	1125	1125	1125
Mon Oct 03 20:52:30 2022	1664797950	0	1125	1125	1125
Mon Oct 03 20:52:35 2022	1664797955	0	1125	1125	1125
Mon Oct 03 20:52:37 2022	1664797957	0	1126	1126	1125
Mon Oct 03 20:52:34 2022	1664797954	0	1126	1126	1125
Mon Oct 03 20:52:25 2022	1664797945	0	1126	1126	1126
Mon Oct 03 20:52:38 2022	1664797958	0	1126	1126	1126
Mon Oct 03 20:52:35 2022	1664797955	0	1126	1126	1126
Mon Oct 03 20:52:31 2022	1664797951	0	1127	1127	1126
Mon Oct 03 20:52:43 2022	1664797963	0	1127	1127	1126
Mon Oct 03 20:52:25 2022	1664797945	0	1127	1127	1127
Mon Oct 03 20:52:37 2022	1664797957	0	1128	1128	1128
Mon Oct 03 20:52:24 2022	1664797944	0	1128	1128	1127
Mon Oct 03 20:52:25 2022	1664797945	0	1128	1128	1128
Mon Oct 03 20:52:30 2022	1664797950	0	1128	1128	1128
Mon Oct 03 20:52:36 2022	1664797956	0	1129	1129	1129
Mon Oct 03 20:52:34 2022	1664797954	0	1129	1130	1129
Mon Oct 03 20:52:43 2022	1664797963	0	1129	1130	1129
Mon Oct 03 20:52:31 2022	1664797951	0	1130	1130	1129
Mon Oct 03 20:52:36 2022	1664797956	0	1130	1130	1130
Mon Oct 03 20:52:34 2022	1664797954	0	1130	1130	1130
Mon Oct 03 20:52:33 2022	1664797953	0	1131	1131	1130
Mon Oct 03 20:52:33 2022	1664797953	0	1131	1131	1131
Mon Oct 03 20:52:27 2022	1664797947	0	1131	1131	1131
Mon Oct 03 20:52:26 2022	1664797946	0	1131	1131	1131
Mon Oct 03 20:52:40 2022	1664797960	0	1131	1131	1131
Mon Oct 03 20:52:29 2022	1664797949	0	1132	1132	1131
Mon Oct 03 20:52:41 2022	1664797961	0	1132	1132	1132
Mon Oct 03 20:52:33 2022	1664797953	0	1133	1133	1132
Mon Oct 03 20:52:37 2022	1664797957	0	1133	1133	1132
Mon Oct 03 20:52:33 2022	1664797953	0	1133	1133	1132
Mon Oct 03 20:52:34 2022	1664797954	0	1134	1134	1133
Mon Oct 03 20:52:41 2022	1664797961	0	1134	1134	1134
Mon Oct 03 20:52:37 2022	1664797957	0	1134	1134	1133
Mon Oct 03 20:52:28 2022	1664797948	0	1134	1134	1134
Mon Oct 03 20:52:39 2022	1664797959	0	1134	1134	1134
Mon Oct 03 20:52:32 2022	1664797952	0	1134	1134	1134
Mon Oct 03 20:52:29 2022	1664797949	0	1134	1134	1134
Mon Oct 03 20:52:38 2022	1664797958	0	1134	1134	1134
Mon Oct 03 20:52:25 2022	1664797945	0	1135	1135	1134
Mon Oct 03 20:52:31 2022	1664797951	0	1135	1135	1135
Mon Oct 03 20:52:42 2022	1664797962	0	1135	1136	1135
Mon Oct 03 20:52:41 2022	1664797961	0	1136	1136	1135
Mon Oct 03 20:52:25 2022	1664797945	0	1136	1136	1136
Mon Oct 03 20:52:33 2022	1664797953	0	1136	1136	1136
Mon Oct 03 20:52:25 2022	1664797945	0	1137	1137	1137
Mon Oct 03 20:52:27 2022	1664797947	0	1138	1138	1137
Mon Oct 03 20:52:29 2022	1664797949	0	1138	1138	1137
Mon Oct 03 20:52:41 2022	1664797961	0	1138	1138	1138
Mon Oct 03 20:52:32 2022	1664797952	0	1138	1138	1138
Mon Oct 03 20:52:26 2022	1664797946	0	1138	1138	1138
Mon Oct 03 20:52:40 2022	1664797960	0	1138	1138	1138
Mon Oct 03 20:52:27 2022	1664797947	0	1139	1139	1139
Mon Oct 03 20:52:40 2022	1664797960	0	1140	1140	1140
Mon Oct 03 20:52:30 2022	1664797950	0	1140	1140	1140
Mon Oct 03 20:52:41 2022	1664797961	0	1140	1141	1140
Mon Oct 03 20:52:33 2022	1664797953	0	1141	1141	1141
Mon Oct 03 20:52:33 2022	1664797953	0	1141	1142	1141
Mon Oct 03 20:52:36 2022	1664797956	0	1142	1142	1142
Mon Oct 03 20:52:38 2022	1664797958	0	1142	1142	1142
Mon Oct 03 20:52:30 2022	1664797950	0	1142	1142	1142
Mon Oct 03 20:52:36 2022	1664797956	0	1142	1142	1142
Mon Oct 03 20:52:40 2022	1664797960	0	1143	1143	1143
Mon Oct 03 20:52:31 2022	1664797951	0	1143	1143	1143
Mon Oct 03 20:52:36 2022	1664797956	0	1143	1143	1143
Mon Oct 03 20:52:41 2022	1664797961	0	1144	1144	1144
Mon Oct 03 20:52:41 2022	1664797961	0	1144	1144	1144
Mon Oct 03 20:52:32 2022	1664797952	0	1144	1144	1144
Mon Oct 03 20:52:30 2022	1664797950	0	1145	1145	1144
Mon Oct 03 20:52:40 2022	1664797960	0	1145	1145	1145
Mon Oct 03 20:52:39 2022	1664797959	0	1145	1145	1145
Mon Oct 03 20:52:32 2022	1664797952	0	1146	1146	1145
Mon Oct 03 20:52:30 2022	1664797950	0	1146	1146	1145
Mon Oct 03 20:52:37 2022	1664797957	0	1146	1146	1146
Mon Oct 03 20:52:39 2022	1664797959	0	1146	1146	1145
Mon Oct 03 20:52:25 2022	1664797945	0	1146	1146	1146
Mon Oct 03 20:52:32 2022	1664797952	0	1146	1146	1146
Mon Oct 03 20:52:43 2022	1664797963	0	1146	1147	1146
Mon Oct 03 20:52:32 2022	1664797952	0	1147	1147	1146
Mon Oct 03 20:52:37 2022	1664797957	0	1147	1147	1147
Mon Oct 03 20:52:42 2022	1664797962	0	1147	1147	1147
Mon Oct 03 20:52:38 2022	1664797958	0	1147	1147	1147
Mon Oct 03 20:52:38 2022	1664797958	0	1147	1148	1147
Mon Oct 03 20:52:38 2022	1664797958	0	1148	1148	1147
Mon Oct 03 20:52:37 2022	1664797957	0	1148	1148	1147
Mon Oct 03 20:52:38 2022	1664797958	0	1148	1148	1148
Mon Oct 03 20:52:27 2022	1664797947	0	1148	1148	1148
Mon Oct 03 20:52:38 2022	1664797958	0	1148	1148	1148
Mon Oct 03 20:52:41 2022	1664797961	0	1148	1148	1148
Mon Oct 03 20:52:37 2022	1664797957	0	1149	1149	1148
Mon Oct 03 20:52:41 2022	1664797961	0	1149	1149	1149
Mon Oct 03 20:52:37 2022	1664797957	0	1149	1149	1149
Mon Oct 03 20:52:33 2022	1664797953	0	1149	1149	1149
Mon Oct 03 20:52:29 2022	1664797949	0	1150	1150	1150
Mon Oct 03 20:52:32 2022	1664797952	0	1150	1150	1150
Mon Oct 03 20:52:39 2022	1664797959	0	1151	1151	1150
Mon Oct 03 20:52:25 2022	1664797945	0	1151	1151	1151
Mon Oct 03 20:52:40 2022	1664797960	0	1151	1151	1151
Mon Oct 03 20:52:37 2022	1664797957	0	1151	1151	1151
Mon Oct 03 20:52:29 2022	1664797949	0	1151	1151	1151
Mon Oct 03 20:52:36 2022	1664797956	0	1152	1152	1152
Mon Oct 03 20:52:28 2022	1664797948	0	1153	1153	1153
Mon Oct 03 20:52:38 2022	1664797958	0	1153	1153	1153
Mon Oct 03 20:52:38 2022	1664797958	0	1153	1153	1152
Mon Oct 03 20:52:29 2022	1664797949	0	1153	1153	1153
Mon Oct 03 20:52:28 2022	1664797948	0	1154	1154	1153
Mon Oct 03 20:52:30 2022	1664797950	0	1154	1154	1154
Mon Oct 03 20:52:37 2022	1664797957	0	1154	1154	1154
Mon Oct 03 20:52:33 2022	1664797953	0	1154	1154	1154
Mon Oct 03 20:52:29 2022	1664797949	0	1154	1154	1154
Mon Oct 03 20:52:38 2022	1664797958	0	1154	1155	1154
Mon Oct 03 20:52:38 2022	1664797958	0	1155	1155	1154
Mon Oct 03 20:52:43 2022	1664797963	0	1155	1155	1155
Mon Oct 03 20:52:30 2022	1664797950	0	1156	1156	1156
Mon Oct 03 20:52:24 2022	1664797944	0	1156	1156	1156
Mon Oct 03 20:52:34 2022	1664797954	0	1156	1157	1156
Mon Oct 03 20:52:25 2022	1664797945	0	1157	1157	1156
Mon Oct 03 20:52:38 2022	1664797958	0	1157	1157	1156
Mon Oct 03 20:52:37 2022	1664797957	0	1158	1158	1157
Mon Oct 03 20:52:36 2022	1664797956	0	1158	1158	1158
Mon Oct 03 20:52:30 2022	1664797950	0	1158	1158	1158
Mon Oct 03 20:52:34 2022	1664797954	0	1158	1159	1158
Mon Oct 03 20:52:39 2022	1664797959	0	1159	1159	1159
Mon Oct 03 20:52:38 2022	1664797958	0	1160	1160	1160
Mon Oct 03 20:52:41 2022	1664797961	0	1160	1160	1160
Mon Oct 03 20:52:38 2022	1664797958	0	1161	1161	1161
Mon Oct 03 20:52:41 2022	1664797961	0	1162	1162	1162
Mon Oct 03 20:52:39 2022	1664797959	0	1162	1162	1162
Mon Oct 03 20:52:34 2022	1664797954	0	1163	1163	1163
Mon Oct 03 20:52:31 2022	1664797951	0	1163	1163	1163
Mon Oct 03 20:52:34 2022	1664797954	0	1164	1164	1163
Mon Oct 03 20:52:39 2022	1664797959	0	1164	1164	1163
Mon Oct 03 20:52:42 2022	1664797962	0	1164	1164	1164
Mon Oct 03 20:52:36 2022	1664797956	0	1164	1164	1164
Mon Oct 03 20:52:26 2022	1664797946	0	1164	1165	1164
Mon Oct 03 20:52:30 2022	1664797950	0	1165	1165	1165
Mon Oct 03 20:52:33 2022	1664797953	0	1165	1165	1165
Mon Oct 03 20:52:37 2022	1664797957	0	1166	1166	1166
Mon Oct 03 20:52:36 2022	1664797956	0	1166	1166	1166
Mon Oct 03 20:52:42 2022	1664797962	0	1166	1166	1166
Mon Oct 03 20:52:35 2022	1664797955	0	1166	1166	1166
Mon Oct 03 20:52:31 2022	1664797951	0	1166	1166	1166
Mon Oct 03 20:52:31 2022	1664797951	0	1167	1167	1166
Mon Oct 03 20:52:39 2022	1664797959	0	1167	1167	1167
Mon Oct 03 20:52:28 2022	1664797948	0	1167	1167	1167
Mon Oct 03 20:52:36 2022	1664797956	0	1168	1168	1168
Mon Oct 03 20:52:24 2022	1664797944	0	1169	1169	1168
Mon Oct 03 20:52:35 2022	1664797955	0	1169	1169	1169
Mon Oct 03 20:52:35 2022	1664797955	0	1169	1169	1169
Mon Oct 03 20:52:30 2022	1664797950	0	1169	1169	1169
Mon Oct 03 20:52:37 2022	1664797957	0	1170	1170	1169
Mon Oct 03 20:52:33 2022	1664797953	0	1170	1170	1170
Mon Oct 03 20:52:33 2022	1664797953	0	1170	1170	1170
Mon Oct 03 20:52:34 2022	1664797954	0	1170	1170	1170
Mon Oct 03 20:52:30 2022	1664797950	0	1172	1172	1171
Mon Oct 03 20:52:30 2022	1664797950	1	1171	1172	1171
Mon Oct 03 20:52:38 2022	1664797958	0	1172	1172	1172
Mon Oct 03 20:52:35 2022	1664797955	0	1173	1173	1173
Mon Oct 03 20:52:37 2022	1664797957	0	1173	1173	1173
Mon Oct 03 20:52:31 2022	1664797951	0	1174	1174	1174
Mon Oct 03 20:52:38 2022	1664797958	0	1174	1174	1174
Mon Oct 03 20:52:33 2022	1664797953	0	1174	1174	1174
Mon Oct 03 20:52:37 2022	1664797957	0	1175	1175	1174
Mon Oct 03 20:52:25 2022	1664797945	0	1175	1175	1175
Mon Oct 03 20:52:40 2022	1664797960	0	1175	1175	1175
Mon Oct 03 20:52:37 2022	1664797957	0	1175	1175	1175
Mon Oct 03 20:52:41 2022	1664797961	0	1175	1175	1175
Mon Oct 03 20:52:37 2022	1664797957	0	1176	1176	1176
Mon Oct 03 20:52:43 2022	1664797963	0	1176	1176	1176
Mon Oct 03 20:52:29 2022	1664797949	0	1177	1177	1177
Mon Oct 03 20:52:33 2022	1664797953	0	1177	1177	1176
Mon Oct 03 20:52:41 2022	1664797961	0	1177	1177	1177
Mon Oct 03 20:52:25 2022	1664797945	0	1177	1177	1177
Mon Oct 03 20:52:34 2022	1664797954	0	1177	1177	1177
Mon Oct 03 20:52:38 2022	1664797958	0	1178	1178	1178
Mon Oct 03 20:52:24 2022	1664797944	0	1178	1178	1177
Mon Oct 03 20:52:31 2022	1664797951	0	1178	1178	1178
Mon Oct 03 20:52:39 2022	1664797959	0	1180	1180	1179
