starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 20:52:29 2022	1664797949	0	1043	1043	1042
Mon Oct 03 20:52:30 2022	1664797950	0	1043	1043	1042
Mon Oct 03 20:52:40 2022	1664797960	0	1043	1043	1043
Mon Oct 03 20:52:29 2022	1664797949	0	1043	1043	1043
Mon Oct 03 20:52:37 2022	1664797957	0	1043	1044	1043
Mon Oct 03 20:52:27 2022	1664797947	0	1044	1044	1043
Mon Oct 03 20:52:42 2022	1664797962	0	1044	1044	1044
Mon Oct 03 20:52:35 2022	1664797955	0	1044	1044	1044
Mon Oct 03 20:52:28 2022	1664797948	0	1044	1044	1044
Mon Oct 03 20:52:29 2022	1664797949	0	1044	1045	1044
Mon Oct 03 20:52:35 2022	1664797955	0	1045	1045	1045
Mon Oct 03 20:52:30 2022	1664797950	0	1045	1045	1045
Mon Oct 03 20:52:40 2022	1664797960	0	1045	1045	1045
Mon Oct 03 20:52:42 2022	1664797962	0	1045	1045	1045
Mon Oct 03 20:52:33 2022	1664797953	0	1045	1045	1045
Mon Oct 03 20:52:28 2022	1664797948	0	1045	1046	1045
Mon Oct 03 20:52:35 2022	1664797955	0	1046	1046	1045
Mon Oct 03 20:52:37 2022	1664797957	0	1046	1046	1045
Mon Oct 03 20:52:33 2022	1664797953	0	1046	1046	1046
Mon Oct 03 20:52:42 2022	1664797962	0	1046	1046	1046
Mon Oct 03 20:52:25 2022	1664797945	0	1046	1046	1046
Mon Oct 03 20:52:40 2022	1664797960	0	1046	1046	1046
Mon Oct 03 20:52:35 2022	1664797955	0	1046	1046	1046
Mon Oct 03 20:52:25 2022	1664797945	0	1046	1046	1046
Mon Oct 03 20:52:30 2022	1664797950	0	1046	1046	1046
Mon Oct 03 20:52:35 2022	1664797955	0	1047	1047	1046
Mon Oct 03 20:52:34 2022	1664797954	0	1047	1047	1046
Mon Oct 03 20:52:30 2022	1664797950	0	1047	1047	1047
Mon Oct 03 20:52:35 2022	1664797955	0	1047	1047	1047
Mon Oct 03 20:52:26 2022	1664797946	0	1047	1047	1047
Mon Oct 03 20:52:27 2022	1664797947	0	1047	1047	1047
Mon Oct 03 20:52:36 2022	1664797956	0	1048	1048	1047
Mon Oct 03 20:52:42 2022	1664797962	0	1048	1048	1047
Mon Oct 03 20:52:38 2022	1664797958	0	1048	1048	1048
Mon Oct 03 20:52:43 2022	1664797963	0	1048	1048	1047
Mon Oct 03 20:52:43 2022	1664797963	0	1048	1048	1048
Mon Oct 03 20:52:37 2022	1664797957	0	1048	1048	1048
Mon Oct 03 20:52:30 2022	1664797950	0	1048	1048	1048
Mon Oct 03 20:52:34 2022	1664797954	0	1048	1048	1048
Mon Oct 03 20:52:26 2022	1664797946	0	1048	1048	1048
Mon Oct 03 20:52:41 2022	1664797961	0	1048	1048	1048
Mon Oct 03 20:52:39 2022	1664797959	0	1048	1048	1048
Mon Oct 03 20:52:35 2022	1664797955	0	1048	1048	1048
Mon Oct 03 20:52:29 2022	1664797949	0	1049	1049	1048
Mon Oct 03 20:52:33 2022	1664797953	0	1049	1049	1048
Mon Oct 03 20:52:37 2022	1664797957	0	1049	1049	1048
Mon Oct 03 20:52:29 2022	1664797949	0	1049	1049	1049
Mon Oct 03 20:52:33 2022	1664797953	0	1049	1049	1049
Mon Oct 03 20:52:41 2022	1664797961	0	1049	1050	1049
Mon Oct 03 20:52:26 2022	1664797946	0	1049	1050	1049
Mon Oct 03 20:52:39 2022	1664797959	0	1050	1050	1050
Mon Oct 03 20:52:35 2022	1664797955	0	1050	1050	1050
Mon Oct 03 20:52:34 2022	1664797954	0	1050	1050	1050
Mon Oct 03 20:52:29 2022	1664797949	0	1050	1050	1050
Mon Oct 03 20:52:33 2022	1664797953	0	1051	1051	1051
Mon Oct 03 20:52:41 2022	1664797961	0	1051	1051	1051
Mon Oct 03 20:52:40 2022	1664797960	0	1051	1051	1051
Mon Oct 03 20:52:42 2022	1664797962	0	1052	1052	1051
Mon Oct 03 20:52:36 2022	1664797956	0	1052	1052	1052
Mon Oct 03 20:52:24 2022	1664797944	0	1052	1052	1051
Mon Oct 03 20:52:41 2022	1664797961	0	1052	1052	1052
Mon Oct 03 20:52:42 2022	1664797962	0	1052	1052	1052
Mon Oct 03 20:52:40 2022	1664797960	0	1052	1052	1052
Mon Oct 03 20:52:37 2022	1664797957	0	1052	1052	1052
Mon Oct 03 20:52:40 2022	1664797960	0	1052	1052	1052
Mon Oct 03 20:52:40 2022	1664797960	0	1052	1053	1052
Mon Oct 03 20:52:37 2022	1664797957	0	1053	1053	1052
Mon Oct 03 20:52:43 2022	1664797963	0	1053	1053	1053
Mon Oct 03 20:52:42 2022	1664797962	0	1053	1053	1053
Mon Oct 03 20:52:28 2022	1664797948	0	1053	1053	1052
Mon Oct 03 20:52:40 2022	1664797960	0	1053	1053	1053
Mon Oct 03 20:52:40 2022	1664797960	0	1053	1054	1053
Mon Oct 03 20:52:43 2022	1664797963	0	1054	1054	1054
Mon Oct 03 20:52:41 2022	1664797961	0	1054	1054	1054
Mon Oct 03 20:52:31 2022	1664797951	0	1054	1054	1054
Mon Oct 03 20:52:24 2022	1664797944	0	1054	1054	1054
Mon Oct 03 20:52:28 2022	1664797948	0	1054	1055	1054
Mon Oct 03 20:52:30 2022	1664797950	0	1055	1055	1054
Mon Oct 03 20:52:28 2022	1664797948	0	1055	1055	1055
Mon Oct 03 20:52:41 2022	1664797961	0	1055	1055	1055
Mon Oct 03 20:52:40 2022	1664797960	0	1055	1055	1055
Mon Oct 03 20:52:42 2022	1664797962	0	1055	1055	1055
Mon Oct 03 20:52:31 2022	1664797951	0	1056	1056	1056
Mon Oct 03 20:52:32 2022	1664797952	0	1056	1056	1056
Mon Oct 03 20:52:37 2022	1664797957	0	1057	1057	1057
Mon Oct 03 20:52:43 2022	1664797963	0	1057	1057	1057
Mon Oct 03 20:52:40 2022	1664797960	0	1057	1057	1057
Mon Oct 03 20:52:41 2022	1664797961	0	1057	1057	1057
Mon Oct 03 20:52:35 2022	1664797955	0	1057	1057	1057
Mon Oct 03 20:52:35 2022	1664797955	0	1057	1057	1057
Mon Oct 03 20:52:36 2022	1664797956	0	1057	1057	1057
Mon Oct 03 20:52:36 2022	1664797956	0	1057	1058	1057
Mon Oct 03 20:52:31 2022	1664797951	0	1057	1058	1057
Mon Oct 03 20:52:40 2022	1664797960	0	1058	1058	1057
Mon Oct 03 20:52:39 2022	1664797959	0	1058	1058	1057
Mon Oct 03 20:52:35 2022	1664797955	0	1058	1058	1058
Mon Oct 03 20:52:41 2022	1664797961	0	1058	1058	1058
Mon Oct 03 20:52:39 2022	1664797959	0	1058	1058	1058
Mon Oct 03 20:52:34 2022	1664797954	0	1058	1059	1058
Mon Oct 03 20:52:35 2022	1664797955	0	1059	1059	1058
Mon Oct 03 20:52:35 2022	1664797955	0	1059	1059	1059
Mon Oct 03 20:52:28 2022	1664797948	0	1059	1059	1059
Mon Oct 03 20:52:34 2022	1664797954	0	1059	1060	1059
Mon Oct 03 20:52:35 2022	1664797955	0	1060	1060	1059
Mon Oct 03 20:52:34 2022	1664797954	0	1060	1060	1060
Mon Oct 03 20:52:31 2022	1664797951	0	1060	1060	1060
Mon Oct 03 20:52:29 2022	1664797949	0	1060	1060	1060
Mon Oct 03 20:52:25 2022	1664797945	0	1060	1060	1060
Mon Oct 03 20:52:42 2022	1664797962	0	1060	1060	1060
Mon Oct 03 20:52:36 2022	1664797956	0	1060	1060	1060
Mon Oct 03 20:52:41 2022	1664797961	0	1061	1061	1060
Mon Oct 03 20:52:32 2022	1664797952	0	1061	1061	1061
Mon Oct 03 20:52:30 2022	1664797950	0	1061	1061	1061
Mon Oct 03 20:52:35 2022	1664797955	0	1061	1061	1061
Mon Oct 03 20:52:25 2022	1664797945	0	1061	1062	1061
Mon Oct 03 20:52:36 2022	1664797956	0	1062	1062	1062
Mon Oct 03 20:52:33 2022	1664797953	0	1062	1062	1062
Mon Oct 03 20:52:29 2022	1664797949	0	1062	1062	1062
Mon Oct 03 20:52:43 2022	1664797963	0	1062	1062	1062
Mon Oct 03 20:52:42 2022	1664797962	0	1062	1063	1062
Mon Oct 03 20:52:42 2022	1664797962	0	1063	1063	1062
Mon Oct 03 20:52:25 2022	1664797945	0	1063	1063	1063
Mon Oct 03 20:52:32 2022	1664797952	0	1063	1063	1063
Mon Oct 03 20:52:35 2022	1664797955	0	1063	1063	1063
Mon Oct 03 20:52:42 2022	1664797962	0	1063	1063	1062
Mon Oct 03 20:52:30 2022	1664797950	0	1063	1063	1063
Mon Oct 03 20:52:37 2022	1664797957	0	1063	1063	1063
Mon Oct 03 20:52:36 2022	1664797956	0	1063	1063	1063
Mon Oct 03 20:52:30 2022	1664797950	0	1063	1064	1063
Mon Oct 03 20:52:42 2022	1664797962	0	1064	1064	1063
Mon Oct 03 20:52:25 2022	1664797945	0	1064	1064	1063
Mon Oct 03 20:52:37 2022	1664797957	0	1064	1064	1063
Mon Oct 03 20:52:29 2022	1664797949	0	1064	1064	1064
Mon Oct 03 20:52:42 2022	1664797962	0	1064	1064	1064
Mon Oct 03 20:52:31 2022	1664797951	0	1064	1064	1064
Mon Oct 03 20:52:28 2022	1664797948	0	1064	1064	1064
Mon Oct 03 20:52:35 2022	1664797955	0	1064	1065	1064
Mon Oct 03 20:52:28 2022	1664797948	0	1065	1065	1064
Mon Oct 03 20:52:26 2022	1664797946	0	1065	1065	1064
